x1,x2
-12.3047017,3.499239612
-21.30290001,17.98379433
-6.32025405,29.6390917
2.259775422,26.2271554
-14.77715009,19.53661491
-11.34713875,-9.874762258
-28.12931222,15.02694959
-7.662440349,7.403946775
-14.61282842,30.14478358
-25.55993324,20.26472978
2.186646822,41.98861366
-26.89525939,14.03449955
-8.596082565,11.47573229
-18.83418629,23.57393313
-21.1659173,31.87305275
-14.64763987,14.01995092
1.858298034,30.08554036
-26.18844717,16.72630014
-18.16522537,33.41805181
6.772592712,19.60517487
-10.1446078,21.38412168
-29.41326009,6.499945162
4.751169069,9.118655281
-27.31385608,22.67017617
-13.56465299,13.22299702
-27.20338887,22.01728872
-15.92578297,41.29990414
7.956780574,0.27973158
-1.692638871,25.44160373
-21.27319657,24.38679384
-22.42875733,6.946292382
-10.83537397,36.03602872
-27.60055232,15.87228236
-26.44198666,20.83474331
-4.525213649,7.995557039
-17.55756788,3.997702185
-9.701891183,36.92236282
0.109650792,39.1619175
-18.04926848,33.76863729
-32.24769621,24.68353276
-25.07809338,19.00483964
-20.60761886,16.90786281
-20.55947009,26.12950235
-18.10824163,15.51251176
-14.00635672,16.99624046
-23.984186,19.58488118
-19.32944953,28.9203929
1.591442438,35.28130166
-16.57736746,5.62509144
-14.90563452,33.93549097
-17.39473495,16.92275008
-12.30557592,21.6817613
-22.95862784,43.56096001
-4.428491379,28.80498388
-28.58540819,15.85536351
-6.357799923,23.02163754
-32.56675796,20.63338393
-33.08782251,25.67447194
-18.56573593,9.661547537
-16.3879082,35.95534715
-15.43457569,20.86999068
-12.11488394,38.25823325
-28.32524269,40.5034011
-33.90863753,14.56700579
-21.26841932,16.089715
-15.91693925,31.38602562
-20.28979475,36.39827632
-27.22306407,27.51249138
-26.28925909,24.4618815
-12.75906414,23.98266694
-22.26393855,28.59175996
-22.92737141,30.43072452
-18.74952993,23.37034147
-24.61598777,9.732556708
-21.81456667,39.35651628
-25.60671521,21.71502474
-20.89580196,13.16892667
-7.792438254,39.21704661
-10.7859629,29.02846285
-6.622569314,28.75659208
6.863153275,7.671684812
-19.81453411,31.36420568
2.88128866,32.342682
-19.61607892,34.30808708
-35.03821825,43.94090688
-33.45010872,30.35456848
-4.93961281,26.68578436
-22.37472196,25.91103464
-23.17554177,30.78456859
-27.26638666,18.3847863
-39.61074853,27.74688176
-15.94509707,14.69695337
-8.444831924,34.08538711
-11.1691886,12.69629783
-19.48110324,32.71576536
-37.36696018,29.63515492
-10.70605321,23.76033686
-27.77418332,1.707284169
-26.72246402,13.94252153
-31.52721122,21.93742597
-30.36171531,24.57677897
-20.10045418,17.8797533
-20.46222143,22.44657231
-31.11617071,22.97238833
-22.01524509,11.76004711
-23.61075515,39.20741511
-22.88962409,23.7091588
-16.1910201,23.75900083
-25.37341075,20.7953364
-30.89172343,32.01444895
-28.20406321,34.962379
-30.4021627,29.3080901
-38.10429077,28.89652395
-10.96877842,19.41275245
-26.44205162,11.49165155
-16.16081572,35.27513679
-21.85031561,11.36638347
-16.48605978,21.27178419
-32.77506462,25.31325721
-14.21807976,29.9702362
-26.14552448,28.9182383
-20.77493849,6.002023701
-24.83833794,23.09480316
-26.97893546,43.59113996
-30.35727355,19.02350955
-24.59933577,7.35664795
-46.98353206,30.39249334
-14.24571777,49.47462287
-25.68764753,18.68635804
-39.70759496,10.11749233
-21.61690534,17.01350527
-14.10475701,27.44926139
-33.01063634,16.96486473
-18.67223022,15.87472828
-12.26004547,38.87858961
-16.91544552,7.133898361
-10.08699902,35.30323347
-13.48652219,30.12978308
-23.99059295,10.60297767
-38.76656872,19.4354444
-33.8309892,27.612807
-18.06116024,38.71728155
-16.10224907,28.29423592
-10.80961038,34.0737543
-16.92354861,17.03885043
-37.95232676,19.14625435
-23.16458786,18.25661879
-42.23067607,19.90604835
-14.55567931,22.53091707
-22.1652695,20.91284116
-19.12194933,14.37569129
-29.84799131,34.14531193
-41.62522353,17.26861482
-14.19280398,29.39568643
-36.0027273,19.32296539
-27.2290225,35.82013669
-36.2749404,9.287323491
-26.75674394,23.7525253
-41.88604747,8.436596668
-39.0812096,17.36736282
-16.381995,20.8059808
-20.02769606,19.99509544
-20.46844772,13.56338062
-20.09169939,10.68774751
-7.46072229,16.50908069
-15.80321263,32.01146021
-21.9685329,20.15599216
-33.62970512,16.95184641
-32.08300084,15.4644737
-26.70073272,18.39492343
-14.59827051,13.22937316
-44.03073898,21.95390308
-16.98946112,10.33915169
-25.92111885,16.83801075
-22.9248223,29.85293208
-16.14889146,13.03738313
-42.02446962,14.90724446
-23.63915472,34.60682374
-13.20921736,29.1141355
-21.15709126,26.8413354
-24.64185783,13.86997627
-15.65359853,17.51783677
-26.18677915,15.45104293
-36.26465757,31.23434431
-20.80569323,9.83739071
-24.45792102,8.301140972
-25.84083391,19.09622929
-23.90531897,17.24504609
-35.03475,24.78937853
-27.76070284,14.50036485
-13.60853482,16.35380379
-25.29958542,10.73437206
-11.50353244,7.648065651
-20.83462785,29.77346967
-31.80514972,20.8118692
-47.43128571,16.30062211
-16.90584762,14.99720781
-29.27002601,21.18461457
-30.33809217,46.48793547
-18.46735437,21.6431791
-10.44676423,14.38467269
-32.22037317,-9.428389133
-25.15595341,13.44930691
-29.37231406,15.34077301
-33.73670418,18.68446698
-30.97025758,28.61611415
-19.27570244,25.44762518
-9.631129353,29.91229699
-48.93993917,21.59026377
-38.8246469,13.57471346
-28.28388353,18.65474362
-19.0730092,24.43227746
-27.11871965,11.89503177
-10.70482325,22.52651222
-21.56446683,6.943391635
-33.58278897,7.18634712
-34.03212168,10.90012241
-18.43008006,30.02846586
-20.56204231,18.74490434
-22.37319385,13.33732186
-27.99055985,32.80490511
-23.67387103,12.49715217
-30.69068568,4.906624682
-9.1087975,18.56289054
-36.76613799,16.76501467
-28.07967239,14.01860777
-28.33672161,10.86750691
-3.066873817,23.79278944
-34.18526125,12.71817153
-15.95723589,20.36252095
-22.6302751,12.65457699
-27.63144372,22.51496914
-18.14407202,29.33880951
-21.87597278,8.060523532
-22.51005528,17.76218098
-28.71289789,17.20031973
-13.73641624,0.383251859
-22.25559326,-1.78496483
-23.65106967,13.76367188
-11.05027674,39.46505148
-52.73609685,27.51545807
-20.50457057,18.7413986
-24.43256793,7.213994199
-10.54273669,2.601935487
-26.62224039,18.98801199
-24.57274074,38.6230444
-25.64414513,7.060593281
-18.08434097,2.953289942
-36.5813532,23.84642599
-28.42307621,32.0584926
-27.26534087,21.4642748
-38.40210481,11.8667011
-16.3391326,10.79801769
-23.55451326,15.25449308
-4.955246635,4.107352683
-25.50439105,12.15197938
-3.890050504,11.38723624
-0.357894893,34.45077022
-45.60330395,19.31510083
-22.48827265,26.11961523
-23.17391535,4.080595653
-8.600796699,8.433302138
-18.78061225,14.85193838
-10.86446595,17.94237602
-9.26805331,9.818213025
-36.60263786,7.005510935
-28.00104938,-3.009334726
-22.4499613,6.331199425
-17.91975096,5.609850779
-19.3585002,29.25868759
-35.45479878,6.885704785
-5.205548951,16.26181045
-19.77466758,20.0956033
-30.15439018,13.6037283
-5.379700146,-0.936443185
-25.83179745,21.98107502
-2.444790461,25.72541823
-11.67411194,9.739416863
-21.48340942,13.88012175
-34.49475417,14.65622619
-11.56434249,19.20883202
-31.08959151,18.09814238
-7.896875572,6.679640277
-13.87268967,-34.04492308
-6.97853353,-2.239262762
-29.54967253,18.97291242
-25.38781586,19.54267651
-23.03165335,5.833318471
-24.26100308,11.44290611
-11.14095158,16.33899843
-19.78891368,7.1409151
-28.21732142,-9.862681503
-22.43890725,10.69612611
-26.99661252,15.02485893
-18.55931287,24.87821277
-23.64210541,13.82314504
-17.89657453,22.87999907
-12.56609863,5.432701528
-21.69959886,31.91495425
-25.18942785,36.45658475
-13.26309166,6.429189378
-17.75083507,34.52150409
-30.1079755,32.45694541
-9.994921398,23.63581673
-25.54697774,7.014947635
-22.76445731,18.05079026
-21.71701469,26.35026062
-27.53669251,-12.92047885
-15.85357482,11.97470583
-24.63331291,6.394939683
-34.61489846,23.91796539
-30.69557541,8.530782822
-8.588899924,7.745459365
-13.3583518,24.26196847
-28.0762725,15.57829361
-12.18882696,23.12029742
-22.16013873,8.880811161
-8.632377558,20.25358447
-21.35011287,14.91914868
-18.8531574,-5.005612526
-21.97514084,19.67438689
-4.162510794,22.01397236
-22.65602816,24.81689933
-15.78812542,17.70823479
-16.9762559,25.55183181
-22.24662628,-2.340958002
-0.44265058,26.32720171
-2.611934282,19.6986445
-12.27545427,14.53897311
-7.500694659,8.794366576
-4.67361465,25.40020496
-4.397731147,11.39045513
-30.87693541,4.790418373
-10.73237687,30.47204677
-5.003546436,35.09718015
-5.120071989,7.61349029
-1.830689813,19.48118597
-4.585451027,10.50480796
-21.76900653,23.19489461
-4.720364159,23.10310395
-2.096256108,22.35639841
-15.38189795,6.07502688
-20.55650399,25.07801556
-21.34911115,20.04344569
-8.154532793,29.57824604
-22.05542896,19.11582562
-25.36953319,32.87645651
-14.73560502,37.1067479
-13.86671435,16.82159214
-22.59147232,26.59921588
-16.08166027,12.8328715
-19.50659529,6.762904304
-11.2239499,17.71563196
-12.74770904,6.363954764
-7.721700857,23.08059034
5.592898525,21.6326931
-29.15583657,25.65868515
-21.83799962,17.7692077
-9.361428098,20.20807987
-17.0179343,25.23904251
18.68940477,9.985751244
17.0343933,25.70234181
37.7188607,11.10026154
17.19881693,36.87349405
33.62341872,12.07642974
21.75664796,34.70849326
6.28037364,21.99248721
27.90063736,20.35118427
37.33170753,32.68649947
18.70797408,1.307155777
5.24142609,7.331256459
42.07309383,13.91777032
28.45022219,28.916065
