algorithm_name,train_or_test_data,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
Logistic Regression,train,0.8637152777777778,0.8596491228070176,0.7943262411347518,0.8419243986254296,0.95578231292517,0.8629205188730922,0.839041095890411,0.7859649122807018,0.8566433566433567,0.972318339100346,0.8634919259787038,0.8492201039861352,0.7901234567901234,0.8492201039861352,0.9639794168096055,0.8631357703929998,0.9713921631092705,0.9466278152127723,0.960730954957283,0.9971372094608411,0.9689720356850416
Logistic Regression,test,0.8611111111111112,0.8051948051948052,0.8813559322033898,0.8148148148148148,0.9577464788732394,0.8647780077715623,0.9117647058823529,0.6933333333333334,0.8918918918918919,0.9577464788732394,0.8636841024952044,0.8551724137931035,0.7761194029850746,0.8516129032258064,0.9577464788732394,0.860162799719306,0.9794117647058823,0.9573708920187793,0.9753094215711038,0.9992860388135263,0.977844529277323
SVC Linear,train,0.8645833333333334,0.8687943262411347,0.7985865724381626,0.8361774744027304,0.9523809523809523,0.863984831365745,0.839041095890411,0.7929824561403509,0.8566433566433567,0.9688581314878892,0.864381260040502,0.8536585365853658,0.795774647887324,0.846286701208981,0.9605488850771869,0.8640671926897144,0.9703687480089201,0.946061231510148,0.9608440058786478,0.9969848480595973,0.9685647083643283
SVC Linear,test,0.8645833333333334,0.8133333333333334,0.8813559322033898,0.8192771084337349,0.9577464788732394,0.8679282132109244,0.8970588235294118,0.6933333333333334,0.918918918918919,0.9577464788732394,0.8667643886637258,0.8531468531468531,0.7761194029850746,0.8662420382165605,0.9577464788732394,0.863313693305432,0.9790106951871658,0.9561189358372457,0.976193483202829,0.9992211332511196,0.9776360618695901
SVC RBF,train,0.8645833333333334,0.875,0.8100358422939068,0.8211920529801324,0.9518900343642611,0.8645294824095751,0.839041095890411,0.7929824561403509,0.8671328671328671,0.9584775086505191,0.864408481953537,0.8566433566433567,0.8014184397163121,0.8435374149659864,0.9551724137931035,0.8641929062796897,0.9723837209302325,0.9460167142192275,0.9601334000872107,0.9964355451130081,0.9687423450874197
SVC RBF,test,0.8715277777777778,0.8309859154929577,0.8852459016393442,0.8045977011494253,0.9855072463768116,0.8765841911646347,0.8676470588235294,0.72,0.9459459459459459,0.9577464788732394,0.8728348709106787,0.8489208633093526,0.7941176470588235,0.8695652173913043,0.9714285714285714,0.8710080747970129,0.9789438502673797,0.9596870109546166,0.9775195756504167,0.9989615110014929,0.9787779869684765
Random Forest (min_samples_leaf=1),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=1),test,0.8402777777777778,0.7894736842105263,0.8421052631578947,0.8125,0.92,0.8410197368421053,0.8823529411764706,0.64,0.8783783783783784,0.971830985915493,0.8431405763675854,0.8333333333333334,0.7272727272727273,0.8441558441558441,0.9452054794520548,0.8374918460534899,0.9620655080213905,0.903943661971831,0.9590490022733014,0.9968845330044785,0.9554856763177503
Random Forest (min_samples_leaf=3),train,0.921875,0.9397163120567376,0.8823529411764706,0.8938356164383562,0.972318339100346,0.9220558021929776,0.9075342465753424,0.8947368421052632,0.9125874125874126,0.972318339100346,0.9217942100920911,0.9233449477351916,0.8885017421602788,0.903114186851211,0.972318339100346,0.9218198039617569,0.9942099394711693,0.9882191060118577,0.991610006621554,0.9994627255850879,0.9933754444224172
Random Forest (min_samples_leaf=3),test,0.8576388888888888,0.8133333333333334,0.8666666666666667,0.8227848101265823,0.9324324324324325,0.8588043106397537,0.8970588235294118,0.6933333333333334,0.8783783783783784,0.971830985915493,0.8601503802891541,0.8531468531468531,0.7703703703703704,0.8496732026143791,0.9517241379310345,0.8562286410156592,0.9701871657754011,0.9247887323943663,0.9713311442283404,0.9981826442526124,0.9661224216626801
